,values
156,0.8487612955163809
157,0.8322977467112267
158,0.7574727689591487
159,0.9883497629555019
160,0.8014009582228148
161,0.8649817885471703
162,0.8550826592835196
163,0.7970441109629298
164,0.988566380395264
165,0.835057949517175
166,0.792497575721143
167,0.9601129626332069
168,0.7785404459053258
169,0.8524221108557279
170,0.9231796983487692
171,0.9909549144773288
172,0.7892581129429734
173,0.8325984691057939
174,0.8583494431985278
175,0.9400623621608281
176,0.8802555194340772
177,0.8768086932029943
178,0.8286863831259897
179,0.9334267114347921
180,0.906022451088881
181,0.9250580996438941
182,0.8191334467437783
183,0.970999612577972
184,0.8347067705588824
185,0.9341358550244421
186,0.7988463567843236
187,0.8056657855845525
188,0.8795261009329534
189,0.9142519408679308
190,0.9514400107605424
191,0.9037353572241487
192,0.7806306585261712
193,0.8214939537021361
194,0.9534097561382898
195,0.8268079939177951
196,0.9247673443219312
197,0.9999637237786394
198,0.9973803472503109
199,0.9250994130048471
200,0.8953693799671169
201,0.8921011380172498
202,0.9151609878091216
203,0.984369011651947
204,0.8314694652397151
205,0.8156970708364143
206,0.8877899028867225
207,0.863930113470806
208,0.8987706904729249
209,0.8503665670167624
210,0.8717846579434475
211,0.7595845287792191
212,0.8725236662945125
213,0.833821813060067
214,0.9826510416191935
215,0.799977412956996
216,0.9550752566497372
217,0.8091178680741082
218,0.9656570566737191
219,0.899324187849237
220,0.9015701210377253
221,0.8740427227862205
222,0.8812142062068413
223,0.8652694331725107
224,0.7635946309185067
225,0.933486087660147
226,0.9939709930102423
227,0.8635912766427543
228,0.9986307593601151
229,0.8502608344688427
230,0.7798206115277303
231,0.8471866720601178
232,0.9312970923624136
233,0.9956341275493791
234,0.7794661237762386
235,0.9313386353483447
236,0.8112991994740427
237,0.8727098022055328
238,0.8933522602993403
239,0.8141729643304512
240,0.9540143640593324
241,0.8696379884568705
242,0.8322269591800283
243,0.7785630480046082
244,0.7752101347163012
245,0.9865456057635305
246,0.789205689695726
247,0.7772204195291714
248,0.8040395779250156
249,0.89188668456753
250,0.8103532335210993
251,0.9641012075430367
252,0.9577140638355018
253,0.9184207302800608
254,0.9446212956883407
255,0.9337562971862535
256,0.9822835302866814
257,0.8207281374584079
258,0.7735847352321291
259,0.8476959291308404
260,0.8043351900625192
261,0.9978071813139916
262,0.8898960452095016
263,0.8835642961544377
264,0.8633149477603772
265,0.9958382380486689
266,0.9442045718534874
